id_projeto,fonte_dado,pais,estado_regiao,empresa_consorcio,status_maturidade,fase,tecnologia_eletrolise,aplicacao_final,produto_final,capacidade_mw,producao_t_ano,producao_kg_dia,investimento,moeda_investimento,data_anuncio,previsao_operacao,fonte_renovavel,materia_prima,tipo_parceria,url_fonte,id_fontes,id_estados,id_empresas,id_status,id_tecnologias,id_aplicacoes
H2V-00066,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00067,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00068,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00069,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00070,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00071,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00072,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00073,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00074,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00075,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00076,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00077,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
